Time,Open,High,Low,Latest,Change,%Change,Volume
1/4/21,306.1856,306.3605,296.5368,300.5499,-4.3045,-1.41%,46626427
1/5/21,299.5588,303.2998,299.5588,303.0277,2.4778,0.82%,30178082
1/6/21,298.3053,303.0471,297.3142,298.83,-4.1977,-1.39%,54348846
1/7/21,301.4924,306.8949,301.4633,306.0593,7.2293,2.42%,31280719
1/8/21,308.3525,310.3444,306.1578,309.9946,3.9353,1.29%,34945507
1/11/21,307.031,308.2067,304.8641,305.5152,-4.4794,-1.44%,33827030
1/12/21,305.554,306.6423,302.3864,305.0293,-0.4859,-0.16%,30119738
1/13/21,305.2917,307.8861,304.6893,307.0893,2.06,0.68%,23565819
1/14/21,307.5363,308.5371,304.9726,305.4472,-1.6421,-0.53%,24185053
1/15/21,305.2334,306.1953,301.7839,303.0277,-2.4195,-0.79%,36142296
1/19/21,305.35,307.9541,304.252,307.4488,4.4211,1.46%,25252180
1/20/21,311.0732,315.5429,307.545,314.6004,7.1516,2.33%,31623621
1/21/21,315.9413,317.8652,314.5615,317.117,2.5166,0.80%,26054809
1/22/21,316.0773,317.2142,315.5137,316.2037,-0.9133,-0.29%,22239243
1/25/21,319.5948,320.9649,312.3072,318.8174,2.6137,0.83%,40219681
1/26/21,319.5365,320.4207,317.9526,319.2839,0.4665,0.15%,26241287
1/27/21,317.0198,317.0296,308.3719,310.3833,-8.9006,-2.79%,56874667
1/28/21,311.5882,317.1753,310.9663,312.2197,1.8364,0.59%,44084856
1/29/21,310.529,311.6361,303.9022,305.6512,-6.5685,-2.10%,56869628
2/1/21,309.1007,314.3769,307.0698,313.2886,7.6374,2.50%,36684972
2/2/21,316.2619,319.5559,316.0968,318.3996,5.111,1.63%,34919782
2/3/21,320.479,320.8434,317.0781,317.1365,-1.2631,-0.40%,25548053
2/4/21,318.5357,320.9746,317.2142,320.8871,3.7506,1.18%,23002362
2/5/21,321.8394,322.9884,320.1972,321.9754,1.0883,0.34%,23394464
2/8/21,323.6661,324.288,322.024,324.1325,2.1571,0.67%,21059228
2/9/21,323.1997,325.3277,323.19,324.0645,-0.068,-0.02%,18110310
2/10/21,325.5026,325.9593,320.1681,323.326,-0.7385,-0.23%,28886821
2/11/21,324.8613,325.5123,322.7139,325.1042,1.7782,0.55%,22688574
2/12/21,324.2588,327.0864,323.2094,326.9212,1.817,0.56%,20939850
2/16/21,327.6792,328.612,324.871,326.037,-0.8842,-0.27%,27870023
2/17/21,323.054,326.1507,320.8191,324.4726,-1.5644,-0.48%,32384581
2/18/21,320.8774,324.4105,319.0603,323.054,-1.4186,-0.44%,33175783
2/19/21,324.4046,324.5309,320.6248,321.645,-1.409,-0.44%,40298929
2/22/21,317.253,318.5162,313.104,313.308,-8.337,-2.59%,48634297
2/23/21,308.0221,314.0465,302.192,312.3752,-0.9328,-0.30%,100076209
2/24/21,309.7128,315.2611,307.0115,314.9502,2.575,0.82%,59902730
2/25/21,312.2878,314.853,302.4252,303.9702,-10.98,-3.49%,113393968
2/26/21,306.9047,310.0723,302.0754,305.2431,1.2729,0.42%,107792650
3/1/21,310.2278,314.7655,308.9306,314.4255,9.1824,3.01%,50597486
3/2/21,315.0668,315.1445,309.1298,309.3824,-5.0431,-1.60%,49779848
3/3/21,308.2844,309.227,300.3458,300.4041,-8.9783,-2.90%,88816419
3/4/21,300.0349,303.2026,291.6104,295.4874,-4.9167,-1.64%,143186784
3/5/21,298.111,300.8404,289.0258,299.9377,4.4503,1.51%,125065746
3/8/21,299.3936,301.2786,291.0274,291.4453,-8.4924,-2.83%,90986552
3/9/21,298.762,304.8447,298.2276,302.9402,11.4949,3.94%,82734268
3/10/21,307.2059,307.5071,301.3855,302.0754,-0.8648,-0.29%,79036435
3/11/21,306.8269,310.8011,305.933,309.0326,6.9572,2.30%,55043728
3/12/21,304.971,309.2175,302.5719,306.5257,-2.5069,-0.81%,71335942
3/15/21,306.8464,309.9655,305.1994,309.8002,3.2745,1.07%,44380015
3/16/21,311.9963,315.0182,310.0626,311.5007,1.7005,0.55%,56526822
3/17/21,308.4594,314.6781,306.7395,312.7833,1.2826,0.41%,80539714
3/18/21,307.8958,308.8773,302.7459,303.2026,-9.5807,-3.06%,85359703
3/19/21,303.0374,305.8164,300.8901,304.2714,1.0688,0.35%,80732676
3/22/21,306.6696,312.0498,306.6696,309.9775,5.7061,1.88%,57759653
3/23/21,311.0672,312.3903,307.8031,308.6252,-1.3523,-0.44%,54944060
3/24/21,309.997,310.0359,303.2742,303.4201,-5.2051,-1.69%,66608406
3/25/21,301.5697,304.4076,299.0614,302.8948,-0.5253,-0.17%,80921491
3/26/21,302.6807,307.7593,301.2797,307.4382,4.5434,1.50%,65288548
3/29/21,306.9031,308.4014,304.0039,307.3507,-0.0875,-0.03%,56128657
3/30/21,305.3854,306.3778,303.0991,305.8038,-1.5469,-0.50%,45878637
3/31/21,307.5939,312.0498,307.2534,310.4834,4.6796,1.53%,56565090
4/1/21,314.3167,315.9122,314.0637,315.776,5.2926,1.70%,57236384
4/5/21,318.2667,322.849,315.8417,322.0805,6.3045,2.00%,43346842
4/6/21,321.7691,323.8122,321.0784,321.8567,-0.2238,-0.07%,34471170
4/7/21,321.38,323.4717,320.446,322.635,0.7783,0.24%,32938749
4/8/21,325.4954,326.1861,324.6975,326.0013,3.3663,1.04%,30774506
4/9/21,324.6392,328.1806,323.8998,327.9763,1.975,0.61%,37685865
