Time,Open,High,Low,Latest,Change,%Change,Volume
1/3/00,81.3772,81.3772,76.7749,80.1589,2.8552,3.69%,85922031
1/4/00,77.8324,79.1014,74.3976,74.6599,-5.499,-6.86%,79873331
1/5/00,74.0254,75.8232,71.2759,72.7564,-1.9035,-2.55%,100464224
1/6/00,73.4966,74.4484,67.4689,67.7607,-4.9957,-6.87%,87788706
1/7/00,70.1676,76.1404,69.7954,76.1404,8.3797,12.37%,66520215
1/10/00,76.9864,79.4737,76.0897,78.2554,2.115,2.78%,70154716
1/11/00,77.6209,78.5727,73.6024,74.4484,-3.807,-4.86%,76941902
1/12/00,75.2944,75.4974,72.7564,72.8114,-1.637,-2.20%,68675732
1/13/00,74.8714,77.4094,73.6701,77.1979,4.3865,6.02%,59491893
1/14/00,78.6784,79.2072,77.8324,78.9957,1.7978,2.33%,51769448
1/18/00,77.8874,79.8967,77.3587,79.4187,0.423,0.54%,39603560
1/19/00,79.093,81.2164,78.1962,81.2164,1.7977,2.26%,44931220
1/20/00,80.7934,81.9567,79.5329,80.4254,-0.791,-0.97%,61366121
1/21/00,81.6394,81.6944,80.4254,81.4279,1.0025,1.25%,44203564
1/24/00,82.4347,82.5912,76.961,77.5152,-3.9127,-4.81%,66998194
1/25/00,77.7267,79.6217,75.637,78.6784,1.1632,1.50%,78666737
1/26/00,78.8899,78.9449,75.2944,75.5059,-3.1725,-4.03%,54599239
1/27/00,77.6209,78.2554,74.1312,76.6184,1.1125,1.47%,72669111
1/28/00,76.1404,76.538,71.6989,72.7564,-3.862,-5.04%,83483702
1/31/00,72.6506,76.1404,70.6414,75.8782,3.1218,4.29%,85140390
2/1/00,75.7428,78.2554,74.8206,77.9128,2.0346,2.68%,62452611
2/2/00,78.0439,80.1336,77.9128,78.5727,0.6599,0.85%,61865367
2/3/00,79.7909,81.7452,78.0693,81.6394,3.0667,3.90%,72292312
2/4/00,82.0624,83.1115,81.4026,82.1936,0.5542,0.68%,62978359
2/7/00,82.2739,83.4372,81.4279,83.3315,1.1379,1.38%,41987930
2/8/00,84.0717,87.0327,84.0717,86.8212,3.4897,4.19%,52007767
2/9/00,86.3475,86.4574,83.5429,83.7545,-3.0667,-3.53%,64439803
2/10/00,84.4439,86.504,83.378,86.504,2.7495,3.28%,62272924
2/11/00,86.3475,86.3475,82.9085,84.4947,-2.0093,-2.32%,58808199
2/14/00,84.592,84.6005,82.6969,84.389,-0.1057,-0.13%,53934903
2/15/00,83.7037,85.1292,81.1107,84.9981,0.6091,0.72%,72275716
2/16/00,84.5201,86.0302,84.0209,84.6005,-0.3976,-0.47%,59835577
2/17/00,85.6072,87.35,84.2832,86.3982,1.7977,2.12%,71111216
2/18/00,86.8212,87.1385,83.2807,83.2807,-3.1175,-3.61%,59742458
2/22/00,83.7545,84.5497,81.4279,83.5429,0.2622,0.31%,88004780
2/23/00,84.3297,88.8305,83.8856,88.196,4.6531,5.57%,76053468
2/24/00,88.7247,90.3575,86.2925,90.0995,1.9035,2.16%,115527010
2/25/00,89.8372,90.9455,87.8787,88.0395,-2.06,-2.29%,77109728
2/28/00,87.35,89.4142,85.0235,87.9845,-0.055,-0.06%,90345114
2/29/00,89.465,90.6029,88.7797,90.311,2.3265,2.64%,56686686
3/1/00,90.734,91.8465,90.0995,91.0512,0.7402,0.82%,57844631
3/2/00,91.4235,91.5292,88.619,88.9447,-2.1065,-2.31%,77397211
3/3/00,91.3685,94.0123,90.5225,93.9615,5.0168,5.64%,75690366
3/6/00,94.541,95.7846,93.272,94.7018,0.7403,0.79%,55007716
3/7/00,96.288,96.3388,92.003,93.272,-1.4298,-1.51%,93311557
3/8/00,93.9065,94.7525,89.9134,94.118,0.846,0.91%,102866123
3/9/00,94.0926,97.7135,92.2949,97.2905,3.1725,3.37%,71161337
3/10/00,97.1848,98.5088,96.03,96.8675,-0.423,-0.43%,70332031
3/13/00,93.0605,96.5503,92.6629,94.3295,-2.538,-2.62%,88756505
3/14/00,95.387,95.9158,88.8305,90.8397,-3.4898,-3.70%,92450608
3/15/00,90.0995,90.5225,86.1867,87.0327,-3.807,-4.19%,121045705
3/16/00,89.1477,92.426,85.4465,92.003,4.9703,5.71%,130690073
